"","LOINC_NUM","COMPONENT","SYSTEM","LONG_COMMON_NAME","RELATEDNAMES2"
"1","14394-1","Harnstoff-Stickstoff","Pleuraflüssigkeit","Harnstoff-Stickstoff [Masse/Volumen] in Pleuraflüssigkeit",""
"2","14396-6","Harnstoff-Stickstoff","Synovialflüssigkeit","Harnstoff-Stickstoff [Masse/Volumen] in Synovialflüssigkeit",""
"3","24141-4","Iva ciliata Ak.IgG","Serum","Iva ciliata IgG-Antikörper [Einheiten/Volumen] in Serum",""
"4","24147-1","(Hühnerfeder+Entenfeder+Gänsefeder) Ak.IgE","Serum","(Hühnerfeder+Entenfeder+Gänsefeder) IgE-Antikörper [Einheiten/Volumen] in Serum mit Multidisk",""
"5","25684-2","Immunglobulin Leichtketten.lambda","Urin","Lambda-Leichtketten [Masse/Zeit] in 24-Stunden-Urin",""
"6","26524-9","Promyelozyten/100 Leukozyten","Blut","Promyelozyten/100 Leukozyten in Blut",""
"7","26548-8","Glucose^30 Minuten nach Dosis Glucose","Urin","Glucose [Nachweis] in Urin mit Teststreifen --30 Minuten nach Dosis Glucose","Glukose"
"8","12458-6","Corticotropin^2. Probenmaterial nach XXX Stimulation","Plasma","Corticotropin [Masse/Volumen] in Plasma --2. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH"
"9","12460-2","Corticotropin^4. Probenmaterial nach XXX Stimulation","Plasma","Corticotropin [Masse/Volumen] in Plasma --4. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH"
"10","12464-4","Corticotropin^8. Probenmaterial nach XXX Stimulation","Plasma","Corticotropin [Masse/Volumen] in Plasma --8. Probenmaterial nach XXX Stimulation","Adrenocorticotropes Hormon; ACTH"
"11","12467-7","Aminosäuren","Urin","Aminosäuren [Nachweis oder Identität] in Urin",""
"12","14402-2","Creatinin","Magenflüssigkeit","Creatinin [Masse/Volumen] in Magenflüssigkeit",""
"13","14407-1","Phosphat","Magenflüssigkeit","Phosphat [Masse/Volumen] in Magenflüssigkeit",""
"14","14417-0","Calcium","Peritonealflüssigkeit","Calcium [Mol/Volumen] in Peritonealflüssigkeit","Ca; Kalzium"
"15","14422-0","Bilirubin","Peritonealflüssigkeit","Bilirubin.gesamt [Masse/Volumen] in Peritonealflüssigkeit",""
"16","14423-8","Bilirubin","Synovialflüssigkeit","Bilirubin.gesamt [Masse/Volumen] in Synovialflüssigkeit",""
"17","13708-3","Arginin/Creatinin","Urin","Arginin/Creatinin [Massenverhältnis] in Urin",""
"18","13710-9","Aspargin/Creatinin","Urin","Aspargin/Creatinin [Massenverhältnis] in Urin",""
"19","13732-3","Dodecanedioat/Creatinin","Urin","Dodecanedioat/Creatinin [Massenverhältnis] in Urin",""
"20","13739-8","Estron/Creatinin","Urin","Estron (E1)/Creatinin [Massenverhältnis] in 24-Stunden-Urin",""
"21","13755-4","Histamin/Creatinin","Urin","Histamin/Creatinin [Massenverhältnis] in Urin",""
"22","1376-3","Calcitonin^5 Minuten nach 0,5 µg/kg Pentagastrin intravenös","Serum oder Plasma","Calcitonin [Masse/Volumen] in Serum oder Plasma --5 Minuten nach 0,5 µg/kg Pentagastrin intravenös",""
"23","13766-1","Isovalerylglycin/Creatinin","Urin","Isovalerylglycin/Creatinin [Massenverhältnis] in Urin",""
"24","13789-3","Phosphoethanolamin/Creatinin","Urin","Phosphoethanolamin/Creatinin [Massenverhältnis] in Urin",""
"25","21008-8","HIV-1 RNA","Serum oder Plasma","HIV-1 RNA [#/Volumen] (Viruslast) in Serum oder Plasma mit Sonde",""
"26","13801-6","Protein/Creatinin","Urin","Protein/Creatinin [Massenverhältnis] in 24-Stunden-Urin","Eiweiß; Gesamteiweiß; Gesamt-Eiweiß"
"27","13903-0","Vasopressin","Urin","Vasopressin [Masse/Volumen] in Urin","ADH; Antidiuretisches Hormon"
"28","13911-3","HLA-B27-bezogenes Ag","Blut oder Gewebe","HLA-B27-bezogenes Antigen [Nachweis]",""
"29","13915-4","Adenovirus Ak.IgM","Serum","Adenovirus IgM-Antikörper [Titer] in Serum",""
"30","13926-1","Glutamat-Decarboxylase 65 Ak","Serum","Glutamat-Decarboxylase 65 Antikörper [Einheiten/Volumen] in Serum",""
"31","12482-6","Ascorbat","Leukozyten","Ascorbat [Masse/Volumen] in Leukozyten","WBC"
"32","12497-4","Butalbital","Stuhl","Butalbital [Nachweis] in Stuhl",""
"33","12559-1","Cortisol^4. Probenmaterial nach XXX Stimulation","Serum oder Plasma","Cortisol [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation","Kortisol"
"34","12566-6","Cortisol^30 Minuten nach XXX Stimulation","Serum oder Plasma","Cortisol [Masse/Volumen] in Serum oder Plasma --30 Minuten nach XXX Stimulation","Kortisol"
"35","12582-3","Creatinin^7. Probenmaterial","Peritonealdialysat","Creatinin [Masse/Volumen] in Peritonealdialysat --7. Probenmaterial",""
"36","12583-1","Creatinin^8. Probenmaterial","Peritonealdialysat","Creatinin [Masse/Volumen] in Peritonealdialysat --8. Probenmaterial",""
"37","18930-8","Gramicidin D","Isolat","Gramicidin D [Empfindlichkeit]",""
"38","26928-2","Vasopressin","Urin","Vasopressin [Nachweis] in 24-Stunden-Urin","ADH; Antidiuretisches Hormon"
"39","26930-8","Secobarbital","Haar","Secobarbital [Masse/Masse] in Haar",""
"40","26961-3","Valin","Urin","Valin [Mol/Volumen] in Urin",""
"41","26962-1","Cystin","Urin","Cystin [Mol/Volumen] in Urin",""
"42","26490-3","Mononukleäre Zellen","Körperflüssigkeit","Mononukleäre Zellen [#/Volumen] in Körperflüssigkeit",""
"43","26508-2","Neutrophile.stabkernig/100 Leukozyten","Blut","Stabkernige Neutrophile/100 Leukozyten in Blut","Stabkernige"
